Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	CDM.BETA	CDM.BETA_STD	CDM.SE	CDM.P	Marginal.P	PS
Linnarsson_MouseBrainAtlas_level5	HBSER5	82	14895	0.14629	0.088781	0.031648	3.8247e-06	0.17279	0.10486	0.0307	1.8543e-08	2.9561e-10	0.700663313809095
DropViz_PC_level1	Neuron	83	14895	0.018507	0.04973	0.0083926	0.027456	0.033352	0.089618	0.0075083	8.9791e-06	7.539e-06	0.309378791318777
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	83	14895	0.16105	0.087718	0.040766	7.8354e-05	0.20129	0.10964	0.036456	3.4195e-08	8.03e-10	0.549948870089622
DropViz_PC_level1	Neuron	84	13958	0.024772	0.066737	0.0084273	0.0032935	0.026307	0.070875	0.0083821	0.0017016	7.539e-06	0.896429963972659
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	84	13958	0.013735	0.026703	0.0078492	0.080164	0.016138	0.031375	0.0078087	0.038783	2.8178e-07	0.776571326958221
DropViz_SN_level1	Neuron	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8375e-09	NA
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4691e-08	NA
DropViz_SN_level1	Neuron	86	14974	0.049692	0.1304	0.011138	8.2065e-06	0.053852	0.14131	0.0083726	1.2991e-10	2.8375e-09	0.514430321657612
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	86	14974	0.0060826	0.016951	0.01074	0.57118	0.037683	0.10502	0.0080788	3.1219e-06	4.6868e-06	0.044178263355907
DropViz_SN_level1	Neuron	87	14974	0.056428	0.14807	0.019555	0.0039125	0.038308	0.10052	0.0068379	2.1536e-08	2.8375e-09	0.31402080034397
DropViz_TH_level1	Neuron	87	14974	-0.02058	-0.053453	0.020808	0.32265	0.035672	0.092654	0.0072777	9.6107e-07	5.659e-07	0.0816433986418623
DropViz_SN_level1	Neuron	88	14895	0.034751	0.091113	0.0071761	1.2947e-06	0.043727	0.11465	0.0067643	1.0502e-10	2.8375e-09	0.590038215314616
Linnarsson_MouseBrainAtlas_level5	HBSER5	88	14895	0.12154	0.073759	0.032565	0.00019051	0.17439	0.10583	0.030706	1.3791e-08	2.9561e-10	0.473268563380144
DropViz_SN_level1	Neuron	89	14895	0.028903	0.075781	0.0076094	0.00014625	0.040735	0.1068	0.0064914	3.5897e-10	2.8375e-09	0.406027288277453
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	89	14895	0.12703	0.069191	0.042661	0.0029092	0.21165	0.11528	0.0364	6.2108e-09	8.03e-10	0.309037652961476
DropViz_SN_level1	Neuron	90	13958	0.030435	0.079952	0.0070599	1.6366e-05	0.032293	0.084831	0.0069114	3.0062e-06	2.8375e-09	0.866728167691982
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	90	13958	0.010217	0.019864	0.0079296	0.1976	0.017196	0.033432	0.0077676	0.026856	2.8178e-07	0.448269628226067
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	91	14974	0.042575	0.11677	0.0095488	8.3094e-06	0.04295	0.11779	0.0084022	3.233e-07	1.4691e-08	0.782761432223003
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	91	14974	0.00080888	0.0022543	0.0097901	0.93415	0.021546	0.060045	0.0086204	0.012452	4.6868e-06	0.0155312837683485
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	92	14974	0.047467	0.13018	0.010489	6.0799e-06	0.046049	0.12629	0.0099451	3.6827e-06	1.4691e-08	0.959930666248291
DropViz_TH_level1	Neuron	92	14974	-0.0055843	-0.014505	0.013129	0.67058	0.0133	0.034544	0.012456	0.28566	5.659e-07	0.318936363713061
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	93	14895	0.038319	0.10503	0.0086046	8.5161e-06	0.045617	0.12503	0.0083304	4.4242e-08	1.4691e-08	0.689372495198489
Linnarsson_MouseBrainAtlas_level5	HBSER5	93	14895	0.10898	0.066139	0.032355	0.00075814	0.14526	0.088155	0.031334	3.5828e-06	2.9561e-10	0.572966968743589
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	94	14895	0.034517	0.094604	0.0091256	0.00015593	0.043033	0.11794	0.0083781	2.8374e-07	1.4691e-08	0.581491389948343
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	94	14895	0.095651	0.052099	0.040662	0.018668	0.15666	0.085332	0.037342	2.7406e-05	8.03e-10	0.378966180544043
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	95	13958	0.043506	0.11953	0.0093137	3.0235e-06	0.042611	0.11707	0.0092945	4.5903e-06	1.4691e-08	1.03396884568282
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	95	13958	0.011883	0.023102	0.0080217	0.13855	0.0094521	0.018376	0.008011	0.23806	2.8178e-07	1.37714548532178
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	96	14974	0.015334	0.042734	0.010507	0.14446	0.036672	0.1022	0.0080228	4.8963e-06	4.6868e-06	0.158235688408859
DropViz_TH_level1	Neuron	96	14974	0.035822	0.093043	0.011394	0.0016707	0.046565	0.12094	0.0086983	8.7686e-08	5.659e-07	0.393520487877163
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	97	14895	0.025455	0.070898	0.0084748	0.0026723	0.037148	0.10347	0.0080569	4.0474e-06	4.6868e-06	0.47713681163866
Linnarsson_MouseBrainAtlas_level5	HBSER5	97	14895	0.14296	0.086759	0.032328	9.8413e-06	0.17326	0.10514	0.030723	1.7388e-08	2.9561e-10	0.645245953966806
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	98	14895	0.020843	0.058052	0.0091203	0.022306	0.035687	0.099395	0.0080145	8.5401e-06	4.6868e-06	0.325849113427121
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	98	14895	0.14244	0.077584	0.041822	0.00066147	0.18811	0.10246	0.036744	3.1004e-07	8.03e-10	0.48850728392912
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	99	13958	0.030422	0.085006	0.0085646	0.00038358	0.030919	0.086396	0.0085626	0.00030619	4.6868e-06	0.972150056495588
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	99	13958	0.017158	0.033358	0.0079725	0.031401	0.017923	0.034844	0.007973	0.024598	2.8178e-07	0.934097527594844
DropViz_TH_level1	Neuron	100	14895	0.030187	0.078337	0.0078681	0.00012524	0.040058	0.10395	0.0075175	1.0043e-07	5.659e-07	0.557613719059633
Linnarsson_MouseBrainAtlas_level5	HBSER5	100	14895	0.13589	0.082465	0.032166	2.4089e-05	0.17254	0.10471	0.03073	2.0059e-08	2.9561e-10	0.599943722783961
DropViz_TH_level1	Neuron	101	14895	0.022629	0.058724	0.008366	0.0068401	0.037467	0.097228	0.0072703	2.5908e-07	5.659e-07	0.328689868484429
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	101	14895	0.15007	0.081742	0.041918	0.00034454	0.20624	0.11234	0.036421	1.518e-08	8.03e-10	0.442880254876133
DropViz_TH_level1	Neuron	102	13958	0.027421	0.071317	0.0079286	0.00054499	0.029572	0.076912	0.0078262	0.00015841	5.659e-07	0.858795989230286
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	102	13958	0.013203	0.025669	0.0078156	0.091174	0.017545	0.034109	0.0077173	0.023015	2.8178e-07	0.635003640535988
Linnarsson_MouseBrainAtlas_level5	HBSER5	103	15314	0.13528	0.08181	0.052966	0.010658	NA	NA	NA	NA	2.9561e-10	0.206975144213923
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	103	15314	0.091871	0.049909	0.085326	0.28163	0.24982	0.1373	0.05514	5.928e-06	8.03e-10	0.105282460181207
Linnarsson_MouseBrainAtlas_level5	HBSER5	104	13988	0.17832	0.1092	0.032014	2.5928e-08	0.18732	0.11471	0.031942	4.6097e-09	2.9561e-10	0.910020765105904
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	104	13988	0.028898	0.05617	0.0076237	0.00015093	0.032047	0.06229	0.0076111	2.5643e-05	2.8178e-07	0.832323782702586
Linnarsson_MouseBrainAtlas_level6_rank4	Chmn	105	13988	0.21406	0.11765	0.038996	4.1064e-08	0.22561	0.124	0.038921	6.9149e-09	8.03e-10	0.905189332263336
TabulaMuris_FACS_all	Brain_Non.Myeloid.oligodendrocyte_precursor_cell	105	13988	0.03172	0.061655	0.0076019	3.0294e-05	0.034682	0.067413	0.0075909	4.9452e-06	2.8178e-07	0.851639646037224
