Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_all_level2	PC.Neuron_Slc17a7-Slc17a6_Fezf2-Htr2c.7_2	14974	0.0056578	0.015739	0.0094838	0.2754	1	1
DropViz_all_level2	HC.Gad1Gad2_Htr3a_Sema3c.1_27	14974	0.0042407	0.012404	0.0073258	0.28134	1	1
DropViz_all_level2	HC.Neuron_Slc17a7_Cbln1-Trps1.5_12	14974	0.0044624	0.01276	0.0078834	0.28568	1	1
DropViz_all_level2	CB.Neuron_Gad1Gad2_Pvalb-Chrm2.3_4	14974	0.0033722	0.010023	0.0060214	0.28774	1	1
DropViz_all_level2	HC.Gad1Gad2_Htr3a_Phlda1.1_18	14974	0.0044279	0.012697	0.0080525	0.29121	1	1
DropViz_all_level2	HC.Gad1Gad2Slc17a8_Htr3a_Ktcd12.1_24	14974	0.0049235	0.013884	0.0090074	0.29233	1	1
DropViz_all_level2	TH.Neuron_Slc17a6-Gad1Gad2_Asb4.3_7	14974	0.0048321	0.013319	0.0091635	0.29899	1	1
DropViz_all_level2	HC.Neuron_Slc17a6_Nefm.2_6	14974	0.0049801	0.013829	0.0097243	0.30428	1	1
DropViz_all_level2	PC.Neuron_Gad1Gad2_Synpr-Pcdh11x.4_9	14974	0.0046292	0.012952	0.0091166	0.30581	1	1
DropViz_all_level2	TH.Neuron_Slc17a7_Tac2_Htr2c.1_4	14974	0.0024219	0.0075771	0.0048091	0.30727	1	1
DropViz_all_level2	TH.Oligodendrocyte_Trf_Ctps.8_3	14974	0.0033798	0.009008	0.0069841	0.31422	1	1
DropViz_all_level2	TH.Polydendrocyte_Tnr_Cspg5.12_4	14974	0.0025401	0.0076177	0.0053038	0.316	1	1
DropViz_all_level2	SN.Oligodendrocyte_Tfr_Slco3a1.10_1	14974	0.0033983	0.008899	0.0071593	0.31752	1	1
DropViz_all_level2	PC.Oligodendrocyte_Tfr_Ctps.9_1	14974	0.0033895	0.0090655	0.0076357	0.32856	1	1
DropViz_all_level2	HC.Gad1Gad2_Htr3a_Cpne5.1_20	14974	0.003771	0.010684	0.0086051	0.33061	1	1
DropViz_all_level2	SN.Astrocyte_Gja1_Cst3.7_2	14974	0.0030178	0.0078209	0.0069601	0.3323	1	1
DropViz_all_level2	GP.Neuron_Gad1Gad2_Igfbp4_Rgs4.2_24	14974	0.0033227	0.009307	0.0077883	0.33483	1	1
DropViz_all_level2	SN.Oligodendrocyte_Tfr_Ndrg2.10_3	14974	0.002934	0.0076994	0.0069452	0.33635	1	1
DropViz_all_level2	GP.Astrocyte_Gja1_Gfap.5_1	14974	0.0028031	0.007315	0.0070882	0.34625	1	1
DropViz_all_level2	SN.Oligodendrocyte_Tfr_Il33.10_4	14974	0.0028527	0.0074489	0.007273	0.34745	1	1
DropViz_all_level2	CB.Neuron_Gad1Gad2_Pcp2.2_1	14974	0.0023409	0.0066648	0.0062731	0.35451	1	1
DropViz_all_level2	ENT.Oligodendrocyte_Trf_Ctps.1_5	14974	0.0021154	0.0058024	0.0060532	0.36337	1	1
DropViz_all_level2	GP.Polydendrocyte_Tnr_Cyth3.4_7	14974	0.0011178	0.0033847	0.0032372	0.36494	1	1
DropViz_all_level2	SN.Polydendrocyte_Tnr_Opalin.5_3	14974	0.0019767	0.0054956	0.005838	0.36746	1	1
DropViz_all_level2	HC.Polydendrocyte_Tnr_Ptprz1.9_4	14974	0.0024605	0.0069042	0.0072822	0.36773	1	1
DropViz_all_level2	GP.Polydendrocyte_Tnr_Pdgfa-Pik3r3.4_1	14974	0.0021767	0.0060822	0.0065758	0.37032	1	1
DropViz_all_level2	SN.Polydendrocyte_Tnr_Cspg5-Dad1.6_2	14974	0.0018802	0.0054832	0.0059921	0.37685	1	1
DropViz_all_level2	HC.Gad1Gad2_Id2_Prlr.1_15	14974	0.0026533	0.0075082	0.009003	0.38411	1	1
DropViz_all_level2	HC.Neuron_Gad1Gad2_Sst_Rbp4.1_8	14974	0.0024236	0.0068654	0.0084198	0.38674	1	1
DropViz_all_level2	TH.Oligodendrocyte_Trf_Il33.8_2	14974	0.0020714	0.0054419	0.007457	0.39059	1	1
DropViz_all_level2	CB.Neuron_Slc17a6_Nrgn.4_3	14974	0.0014108	0.0043732	0.0050855	0.39073	1	1
DropViz_all_level2	PC.Oligodendrocyte_Tfr_Il33.9_4	14974	0.0022635	0.0060192	0.0082141	0.39144	1	1
DropViz_all_level2	FC.Neuron_Gad1Gad2_Synpr-Nnat.1_3	14974	0.0017882	0.0051914	0.0073043	0.4033	1	1
DropViz_all_level2	ENT.Oligodendrocyte_Trf_Serpinb1a.1_1	14974	0.0015853	0.0042653	0.006484	0.40343	1	1
DropViz_all_level2	FC.Polydendrocyte_Tnr_Bmp4-Gpr17.10_6	14974	0.001646	0.0046688	0.0071103	0.40847	1	1
DropViz_all_level2	SN.Neuron_Gad1Gad2_Otx2-Chrna3.3_2	14974	0.0016063	0.0047122	0.0069433	0.40853	1	1
DropViz_all_level2	TH.Neuron_Slc17a7_Tac2_Syt15.1_2	14974	0.0016502	0.0046916	0.0072906	0.41047	1	1
DropViz_all_level2	HC.Neuron_Slc17a7_Nxph3-Hpcal-Igfbp4.3_6	14974	0.0020898	0.0058222	0.0099772	0.41705	1	1
DropViz_all_level2	HC.Neuron_Slc17a6_Grp.2_7	14974	0.0018059	0.0050266	0.0094756	0.42443	1	1
DropViz_all_level2	HC.Gad1Gad2Chat_Htr3a_Chat.1_17	14974	0.0016954	0.0047749	0.0091722	0.42668	1	1
DropViz_all_level2	SN.Astrocyte_Gja1_Igfbp2.7_3	14974	0.00066449	0.0019855	0.0036449	0.42767	1	1
DropViz_all_level2	FC.Oligodendrocyte_Tnf_Ptgds.9_4	14974	0.0015028	0.0039257	0.0084973	0.42981	1	1
DropViz_all_level2	PC.Oligodendrocyte_Tfr_Klk6.9_3	14974	0.0012392	0.0033798	0.0070916	0.43064	1	1
DropViz_all_level2	HC.Neuron_Slc17a7_Pvrl3-St18.6_3	14974	0.0015734	0.0043282	0.0090049	0.43065	1	1
DropViz_all_level2	GP.Oligodendrocyte_Trf_Kif5b.10_6	14974	0.0011901	0.0031445	0.0073719	0.43587	1	1
DropViz_all_level2	FC.Oligodendrocyte_Tnf_Klk6.9_5	14974	0.0012094	0.0032181	0.0077212	0.43777	1	1
DropViz_all_level2	SN.Oligodendrocyte_Tfr_Plin3.10_2	14974	0.00101	0.0026787	0.0066306	0.43947	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Adora2a-Otof.13_4	14974	0.0011539	0.0032657	0.0078202	0.44135	1	1
DropViz_all_level2	GP.Neuron_Gad1Gad2_Tac1.2_1	14974	0.0010571	0.0030167	0.0073241	0.44262	1	1
DropViz_all_level2	HC.Neuron_Slc17a7_Nxph3-Hpcal-Krt12.3_7	14974	0.0012354	0.003448	0.0095613	0.4486	1	1
DropViz_all_level2	PC.Astrocyte_Gja1_Sparc.8_3	14974	0.00094862	0.0025115	0.0073478	0.44864	1	1
DropViz_all_level2	GP.Oligodendrocyte_Trf_Klk6.10_2	14974	0.00081417	0.0021724	0.0069348	0.45327	1	1
DropViz_all_level2	GP.Macrophage_C1qb_Mrc1.11_2	14974	0.00047654	0.0013445	0.0047757	0.46026	1	1
DropViz_all_level2	GP.Oligodendrocyte_Trf_Ctps.10_4	14974	0.00059652	0.0016309	0.006158	0.46142	1	1
DropViz_all_level2	FC.Oligodendrocyte_Tnf_Igsf8.9_1	14974	0.00070666	0.0018603	0.0077666	0.46375	1	1
DropViz_all_level2	TH.Microglia_C1qb_Tmem119.7_2	14974	0.00041765	0.0011732	0.005434	0.46937	1	1
DropViz_all_level2	PC.Astrocyte_Gja1_Myoc.8_2	14974	0.00049846	0.0012989	0.0076243	0.47394	1	1
DropViz_all_level2	STR.Polydendrocye_Tnr_Cspg5.5_1	14974	0.00047661	0.0013239	0.0073104	0.47401	1	1
DropViz_all_level2	HC.Neuron_Slc17a7_Pvrl3-Nos1.6_1	14974	0.00059639	0.0016477	0.0093377	0.47454	1	1
DropViz_all_level2	PC.Polydendrocyte_Tnr_Lims2-Tmsb4x.10_4	14974	0.00036019	0.0010736	0.0058538	0.47547	1	1
DropViz_all_level2	HC.Neuron_Slc17a7_Rgs14.6_4	14974	0.00048257	0.0013402	0.008338	0.47692	1	1
DropViz_all_level2	SN.Astrocyte_Gja1_Myoc.7_1	14974	0.00025271	0.00070065	0.005636	0.48212	1	1
DropViz_all_level2	FC.Neuron_Slc17a7_Parm1_Fos.7_4	14974	0.00021918	0.00067324	0.0051548	0.48304	1	1
DropViz_all_level2	FC.Oligodendrocyte_Tnf_Kif5b.9_3	14974	0.00031022	0.00081916	0.0080354	0.4846	1	1
DropViz_all_level2	HC.Gad1Gad2_Htr3a_Efba5.1_19	14974	0.00022847	0.00066719	0.0071701	0.48729	1	1
DropViz_all_level2	SN.Polydendrocyte_Tnr_Bmp4.5_1	14974	8.2485e-05	0.00023792	0.0058052	0.49433	1	1
DropViz_all_level2	HC.Oligodendrocyte_Trf_Man1a.8_4	14974	8.0516e-05	0.00021687	0.0070297	0.49543	1	1
DropViz_all_level2	PC.Astrocyte_Gja1_Igfbp2.8_1	14974	4.2191e-05	0.0001104	0.007597	0.49778	1	1
DropViz_all_level2	ENT.Oligodendrocyte_Trf_Ndrg2.1_3	14974	-3.8438e-05	-0.00010329	0.0066863	0.50229	1	1
DropViz_all_level2	HC.Gad1Gad2_Cplx3_Tox.1_12	14974	-7.7759e-05	-0.00022469	0.0081042	0.50383	1	1
DropViz_all_level2	ENT.Oligodendrocyte_Trf_Il33.1_4	14974	-0.00022355	-0.00059998	0.0065853	0.51354	1	1
DropViz_all_level2	ENT.Oligodendrocyte_Trf_Klk6.1_2	14974	-0.00023731	-0.00063967	0.0063112	0.515	1	1
DropViz_all_level2	TH.Neuron_Slc17a7_Tac2_Wif1.1_3	14974	-0.0005714	-0.0016068	0.00774	0.52942	1	1
DropViz_all_level2	TH.Oligodendrocyte_Trf_Klk6.8_1	14974	-0.00054146	-0.0014451	0.0066603	0.5324	1	1
DropViz_all_level2	GP.Polydendrocyte_Tnr_Opalin.4_3	14974	-0.00045757	-0.0012915	0.005434	0.53355	1	1
DropViz_all_level2	SN.Microglia_C1qb_Tmem119.9_2	14974	-0.0003302	-0.0010176	0.0033414	0.53936	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Drd1-Otof-Sorcs1.13_2	14974	-0.00085183	-0.0023958	0.0081079	0.54184	1	1
DropViz_all_level2	STR.Oligodendrocyte_Trf_Klk6.3_1	14974	-0.00069235	-0.0018674	0.0065408	0.54215	1	1
DropViz_all_level2	PC.Microglia_C1qb_Tmem119-Junb.11_4	14974	-0.00037246	-0.0010438	0.0032903	0.54506	1	1
DropViz_all_level2	CB.Oligodendroyte_Trf_Il33.6_1	14974	-0.00072063	-0.0019895	0.0060861	0.54713	1	1
DropViz_all_level2	HC.Neuron_Gad1Gad2_Id2_Sfrp2.1_2	14974	-0.00083392	-0.0024682	0.0067149	0.54942	1	1
DropViz_all_level2	GP.Astrocyte_Gja1_Crym.5_2	14974	-0.00087607	-0.0023088	0.0068032	0.55123	1	1
DropViz_all_level2	GP.Polydendrocyte_Tnr_Bmp4.4_4	14974	-0.00095556	-0.0026656	0.007134	0.55328	1	1
DropViz_all_level2	HC.Oligodendrocyte_Trf_Il33.8_3	14974	-0.0011927	-0.0031586	0.0076744	0.56175	1	1
DropViz_all_level2	GP.Mitotic_MkI67.4_6	14974	-0.00057711	-0.0018789	0.0035221	0.56508	1	1
DropViz_all_level2	STR.Oligodendrocyte_Trf_Ctps.3_3	14974	-0.0011013	-0.0029839	0.0064235	0.56806	1	1
DropViz_all_level2	FC.Oligodendrocyte_Tnf_Igsf8-Ctps.9_2	14974	-0.0010899	-0.0030087	0.0062407	0.56932	1	1
DropViz_all_level2	ENT.Polydendrocyte_Tnr_Ctps.5_3	14974	-0.00098343	-0.0027786	0.0054891	0.57109	1	1
DropViz_all_level2	CB.Gja1_Gfap.8_1	14974	-0.00071154	-0.0022115	0.0037545	0.57516	1	1
DropViz_all_level2	HC.Neuron_Slc17a7_Nxph3-Hpcal1-Fos.3_5	14974	-0.0011082	-0.0033833	0.0056568	0.57766	1	1
DropViz_all_level2	HC.Gad1Gad2_Htr3a_Htr1b.1_26	14974	-0.0020797	-0.0059172	0.0086224	0.5953	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2-Th_Trh.14_4	14974	-0.0020512	-0.005852	0.0080162	0.60098	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Resp18.13_9	14974	-0.002256	-0.0063901	0.0082715	0.60747	1	1
DropViz_all_level2	HC.Gad1Gad2_Htr3a_Ecel1.1_21	14974	-0.0022716	-0.0065022	0.0080836	0.61065	1	1
DropViz_all_level2	CB.Neuron_Slc17a7_Gabra6.1_1	14974	-0.00254	-0.0071509	0.0080607	0.62366	1	1
DropViz_all_level2	FC.Astrocyte_Gja1.8_1	14974	-0.0026014	-0.006728	0.0079208	0.6287	1	1
DropViz_all_level2	HC.Oligodendrocyte_Trf_Ndrg2.8_2	14974	-0.002332	-0.0062953	0.0070608	0.6294	1	1
DropViz_all_level2	HC.Neuron_Slc17a6_Htr1a.2_2	14974	-0.0028201	-0.0080293	0.0083808	0.63175	1	1
DropViz_all_level2	HC.Neuron_Slc17a6_Lhx1.14_1	14974	-0.002872	-0.0080151	0.0083907	0.63393	1	1
DropViz_all_level2	HC.Neuron_Slc17a7_Pvrl3-Fos.6_8	14974	-0.0029392	-0.0082771	0.0083836	0.63705	1	1
DropViz_all_level2	GP.Polydendrocyte_Tnr_Pdgfa-Tmem2.4_2	14974	-0.0022547	-0.0062871	0.0060827	0.64456	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Pvalb_Pvalb-Megf11.14_1	14974	-0.0036267	-0.01008	0.0093933	0.65028	1	1
DropViz_all_level2	STR.Neuron_Slc17a7_Dkk3.13_8	14974	-0.0019202	-0.0059756	0.0049563	0.65078	1	1
DropViz_all_level2	HC.Oligodendrocyte_Trf_Plin3.8_1	14974	-0.0027188	-0.0073034	0.0069915	0.65131	1	1
DropViz_all_level2	SN.Endothelial_Tip_Dcn_Alcam.14_3	14974	-0.0012893	-0.0038301	0.0032948	0.65221	1	1
DropViz_all_level2	TH.Astrocyte_Gja1_Myoc.11_1	14974	-0.0020126	-0.005773	0.0050649	0.65445	1	1
DropViz_all_level2	FC.Polydendrocyte_Tnr_Opalin.10_4	14974	-0.0023172	-0.006581	0.0055939	0.66065	1	1
DropViz_all_level2	ENT.Astrocyte_Gja1_Htra1.7_2	14974	-0.0025726	-0.0069928	0.0060712	0.66412	1	1
DropViz_all_level2	CB.Neuron_Slc17a6_Sln.4_1	14974	-0.00273	-0.0080229	0.0061222	0.67217	1	1
DropViz_all_level2	ENT.Polydendrocyte_Tnr_Pdgfa.5_2	14974	-0.0025688	-0.0073138	0.0056903	0.67416	1	1
DropViz_all_level2	GP.Microglia_C1qb_Tmem119.11_1	14974	-0.0022663	-0.0063397	0.0049903	0.67513	1	1
DropViz_all_level2	PC.Oligodendrocyte_Tfr_Sez6.9_5	14974	-0.0031209	-0.0085778	0.0068652	0.6753	1	1
DropViz_all_level2	SN.Polydendrocyte_Tnr_Tmem2.5_2	14974	-0.002737	-0.0076945	0.0059973	0.67593	1	1
DropViz_all_level2	HC.Microglia_C1qb_Tmem119.10_1	14974	-0.0028069	-0.0075622	0.0059017	0.68282	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Drd1-Pde1a.10_3	14974	-0.0042425	-0.011882	0.0086738	0.68762	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Pnoc.14_2	14974	-0.0025577	-0.007897	0.0052041	0.68845	1	1
DropViz_all_level2	FC.Microglia_C1qb_Tmem119.11_1	14974	-0.0034568	-0.0091024	0.0070187	0.68882	1	1
DropViz_all_level2	SN.Endothelial_Stalk_Flt1_Gkn3.12_2	14974	-0.002276	-0.0067265	0.0045714	0.69071	1	1
DropViz_all_level2	TH.Macrophage_C1qb_Mrc1.7_1	14974	-0.0023016	-0.0066251	0.0045862	0.69211	1	1
DropViz_all_level2	TH.Polydendrocyte_Tnr_Ctps.12_2	14974	-0.0030209	-0.0083917	0.0059561	0.69399	1	1
DropViz_all_level2	STR.Oligodendrocyte_Trf_Il33.3_2	14974	-0.0039463	-0.010429	0.0075007	0.7006	1	1
DropViz_all_level2	STR.Microglia_C1qb_Tmem119.6_2	14974	-0.0031266	-0.0083916	0.0058962	0.70203	1	1
DropViz_all_level2	FC.Polydendrocyte_Tnr_Pdgfa.10_3	14974	-0.0037059	-0.010312	0.0068545	0.70562	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Drd1-Tpbg.13_1	14974	-0.004593	-0.012934	0.0084956	0.70562	1	1
DropViz_all_level2	FC.Astrocyte_Gja1_Myoc.8_2	14974	-0.0041062	-0.010675	0.0075455	0.70684	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Drd1-Otof-Lmo2.13_3	14974	-0.0041753	-0.011876	0.0076464	0.70748	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Chodl.15_1	14974	-0.004977	-0.013614	0.0090854	0.70808	1	1
DropViz_all_level2	FC.Endothelial_Stalk_Flt1_Mgp.12_2	14974	-0.0030303	-0.0086224	0.0051096	0.72342	1	1
DropViz_all_level2	SN.Macrophage_C1qb_Mrc1.9_1	14974	-0.0028538	-0.0082137	0.0046971	0.72826	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Adora2a-Th.13_5	14974	-0.0042091	-0.012334	0.0067501	0.73354	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Drd1-Nefm.10_4	14974	-0.0056319	-0.015675	0.0085413	0.74517	1	1
DropViz_all_level2	ENT.Oligodendrocyte_Trf_Ndrg2.8_2	14974	-0.0033703	-0.0090272	0.0050496	0.74775	1	1
DropViz_all_level2	SN.Neuron_Gad1Gad2_Rln3.3_5	14974	-0.0035727	-0.010837	0.0053516	0.7478	1	1
DropViz_all_level2	PC.Macrophage_C1qb_Mrc1.11_2	14974	-0.0034348	-0.0098738	0.005086	0.75027	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Drd1-Fos.10_1	14974	-0.0056513	-0.015839	0.0082871	0.75236	1	1
DropViz_all_level2	HC.Astrocyte_Gja1_Myoc.7_2	14974	-0.0047711	-0.012536	0.0069289	0.75445	1	1
DropViz_all_level2	FC.Macrophage_C1qb_Mrc1.11_3	14974	-0.003612	-0.010107	0.0052279	0.75518	1	1
DropViz_all_level2	PC.Oligodendrocyte_Tfr_Tmem2.9_2	14974	-0.0035401	-0.01065	0.0047958	0.76979	1	1
DropViz_all_level2	PC.Neuron_Slc17a7-Slc17a6_Tshz2-Prlr.6_7	14974	-0.0067022	-0.018915	0.0088214	0.7763	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Adora2a-Nefm.11_1	14974	-0.0065677	-0.018243	0.0084491	0.78151	1	1
DropViz_all_level2	HC.Polydendrocyte_Tnr_Pdgfa.9_1	14974	-0.0056851	-0.015776	0.0068382	0.79711	1	1
DropViz_all_level2	TH.Oligodendrocyte_Trf_Ndrg2.9_1	14974	-0.0050659	-0.012944	0.0060295	0.79959	1	1
DropViz_all_level2	STR.Macrophage_C1qb_Mrc1.6_1	14974	-0.0031817	-0.0096966	0.0037119	0.80431	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	14974	-0.0067493	-0.018989	0.0078008	0.80653	1	1
DropViz_all_level2	CB.Polydendrocyte_Tnr_Tnr.6_3	14974	-0.0033267	-0.010247	0.0038379	0.80697	1	1
DropViz_all_level2	TH.Polydendrocyte_Tnr_Pdgfa.12_1	14974	-0.0051799	-0.014712	0.0058761	0.81098	1	1
DropViz_all_level2	HC.Polydendrocyte_Tnr_Cspg5.9_3	14974	-0.0066947	-0.018625	0.0075529	0.81228	1	1
DropViz_all_level2	HC.Astrocyte_Gja1_Nnat.7_1	14974	-0.0069322	-0.017962	0.0073092	0.82854	1	1
DropViz_all_level2	STR.Polydendrocye_Tnr_Ctps.5_4	14974	-0.0038412	-0.011501	0.0040134	0.83073	1	1
DropViz_all_level2	CB.Microglia_C1qb_Mrc1-Tmem119.5_1	14974	-0.0036212	-0.011157	0.0036958	0.83641	1	1
DropViz_all_level2	HC.Astrocyte_Gja1_Fabp7.7_3	14974	-0.0064525	-0.017488	0.0064998	0.83957	1	1
DropViz_all_level2	CB.Gja1_Htra1.8_2	14974	-0.005414	-0.015374	0.0053734	0.84316	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Adora2a-Nnat.11_2	14974	-0.0087536	-0.024319	0.0086378	0.84456	1	1
DropViz_all_level2	STR.Neurogenesis_Sox4_Tuba1c.2_3	14974	-0.0055067	-0.015733	0.0052617	0.85234	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Adora2a-Fos.11_3	14974	-0.0086085	-0.024175	0.0081068	0.85585	1	1
DropViz_all_level2	PC.Endothelial_Tip_Dcn_Coch.14_4	14974	-0.0059771	-0.0166	0.0055105	0.86096	1	1
DropViz_all_level2	GP.Endothelial_Stalk_Flt1_Mgp.7_3	14974	-0.0056807	-0.015918	0.0052163	0.86192	1	1
DropViz_all_level2	HC.Neurogenesis_Sox4_Cdc20.13_3	14974	-0.0053159	-0.015774	0.0046871	0.87163	1	1
DropViz_all_level2	HC.Oligodendrocyte_Trf_Ctps.8_5	14974	-0.0051436	-0.015219	0.004428	0.87729	1	1
DropViz_all_level2	PC.Polydendrocyte_Tnr_Tmsb4x.10_3	14974	-0.0082781	-0.023388	0.0070892	0.87853	1	1
DropViz_all_level2	HC.Macrophage_C1qb_Mrc1.10_2	14974	-0.0051118	-0.015031	0.0043538	0.87981	1	1
DropViz_all_level2	ENT.Neuron_Slc17a7_Zbtb20.4_1	14974	-0.0057416	-0.017849	0.0048426	0.88211	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Drd1-Nfib.13_10	14974	-0.0069092	-0.020865	0.0058113	0.88276	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Drd1-Lypd1.10_2	14974	-0.010087	-0.028103	0.0084586	0.88346	1	1
DropViz_all_level2	CB.Oligodendrocyte_Trf_Klk6.6_2	14974	-0.0055815	-0.016196	0.004579	0.88855	1	1
DropViz_all_level2	ENT.Mural_Rgs5Acta2_Kcnj8.3_1	14974	-0.0049757	-0.015175	0.0040596	0.88983	1	1
DropViz_all_level2	ENT.Mural_Rgs5Acta2_Cnn1.3_5	14974	-0.0053409	-0.015728	0.0043426	0.89062	1	1
DropViz_all_level2	TH.Endothelial_Tip_Dcn.6_1	14974	-0.0062891	-0.017563	0.0050748	0.89237	1	1
DropViz_all_level2	ENT.Oligodendrocyte_Trf_Cldn11.8_1	14974	-0.0060915	-0.017371	0.0048381	0.89599	1	1
DropViz_all_level2	PC.Microglia_C1qb_Tmem119-Fos.11_3	14974	-0.0040581	-0.012308	0.003213	0.8967	1	1
DropViz_all_level2	PC.Mural_Acta2Rgs5_Acta2.13_1	14974	-0.0074114	-0.02037	0.0058574	0.89711	1	1
DropViz_all_level2	ENT.Astrocyte_Gja1_Myoc.7_1	14974	-0.0059471	-0.017574	0.0046065	0.90164	1	1
DropViz_all_level2	PC.Endothelial_Tip_Dcn_Mgp-Penk.14_1	14974	-0.0082365	-0.022454	0.006363	0.90223	1	1
DropViz_all_level2	ENT.Mural_Rgs5Acta2_Junb.3_6	14974	-0.0042649	-0.013015	0.0032641	0.90432	1	1
DropViz_all_level2	STR.Astrocyte_Gja1_Htra1.4_1	14974	-0.0088983	-0.023226	0.0067411	0.90657	1	1
DropViz_all_level2	TH.Ependymal_Ccdc153.10_1	14974	-0.0072194	-0.019077	0.0053944	0.90959	1	1
DropViz_all_level2	GP.Ependymal_Ccdc153.6_1	14974	-0.0058029	-0.017007	0.004164	0.91827	1	1
DropViz_all_level2	HC.Choroid_Plexus_Ttr.12_1	14974	-0.0073003	-0.019619	0.0052125	0.91931	1	1
DropViz_all_level2	HC.Neurogenesis_Sox4_Gabra5.13_5	14974	-0.010056	-0.028792	0.0069418	0.92628	1	1
DropViz_all_level2	SN.Ependyma_Ccdc153.8_1	14974	-0.0052118	-0.01618	0.0035713	0.92775	1	1
DropViz_all_level2	STR.Mural_Rgs5Acta2_Olfr558.8_1	14974	-0.0071681	-0.020808	0.0047193	0.93559	1	1
DropViz_all_level2	GP.Endothelial_Stalk_Flt1_Car4.7_5	14974	-0.0087823	-0.024146	0.0057556	0.93647	1	1
DropViz_all_level2	CB.Astrocyte_Gja_Slc1a3.7_1	14974	-0.0094865	-0.025869	0.0062027	0.93691	1	1
DropViz_all_level2	FC.Polydendrocyte_Tnr_Bmp4-_Ptgds.10_5	14974	-0.011065	-0.030807	0.0072042	0.93772	1	1
DropViz_all_level2	FC.Polydendrocyte_Tnr_Dlx1.10_2	14974	-0.0089398	-0.025567	0.0057845	0.93887	1	1
DropViz_all_level2	ENT.Polydendrocyte_Tnr_Bmp4.5_1	14974	-0.0089467	-0.026074	0.005764	0.93968	1	1
DropViz_all_level2	PC.Endothelial_Tip_Dcn_Mgp-Clu.14_2	14974	-0.0085975	-0.02422	0.0054607	0.9423	1	1
DropViz_all_level2	GP.Mural_Rgs5Acta2_Rgs5.8_4	14974	-0.0091235	-0.024943	0.005794	0.94232	1	1
DropViz_all_level2	STR.Neuron_Gad1Gad2_Sgol2a.13_11	14974	-0.0053577	-0.016694	0.0033922	0.94287	1	1
DropViz_all_level2	FC.Endothelial_Stalk_Flt1_Lrg1.12_5	14974	-0.0068298	-0.020594	0.0043096	0.94348	1	1
DropViz_all_level2	CB.Endothelial_Stalk_Flt1_Mgp.10_1	14974	-0.0072046	-0.021379	0.0044834	0.94596	1	1
DropViz_all_level2	PC.Endothelial_Tip_Dcn_Nnat.14_3	14974	-0.0079201	-0.022187	0.0049059	0.94677	1	1
DropViz_all_level2	SN.Oligodendrocyte_Tnr_Rps24.11_1	14974	-0.0092635	-0.023729	0.0057329	0.94693	1	1
DropViz_all_level2	TH.Endothelial_Stalk_Flt1_Vwf.4_4	14974	-0.0087536	-0.024362	0.005371	0.94842	1	1
DropViz_all_level2	GP.Endothelial_Stalk_Flt1_Lcn2.7_4	14974	-0.0086506	-0.024215	0.0053026	0.94858	1	1
DropViz_all_level2	PC.Endothelial_Stalk_Flt1_Gkn3.12_4	14974	-0.0093128	-0.025974	0.005621	0.95121	1	1
DropViz_all_level2	PC.Endothelial_Stalk_Flt1_Vwf.12_2	14974	-0.009736	-0.026874	0.005867	0.95148	1	1
DropViz_all_level2	HC.Polydendrocyte_Tnr_Bmp4.9_2	14974	-0.011288	-0.032322	0.0066141	0.95604	1	1
DropViz_all_level2	PC.Endothelial_Tip_Dcn_Inmt.14_5	14974	-0.0073022	-0.022013	0.0042297	0.95785	1	1
DropViz_all_level2	ENT.Endothelial_Stalk_Flt1_Gkn3.2_4	14974	-0.0088541	-0.024981	0.005124	0.95799	1	1
DropViz_all_level2	HC.Neuron_Slc17a7_C1ql2-Penk.4_2	14974	-0.016125	-0.044788	0.0093245	0.95811	1	1
DropViz_all_level2	ENT.Endothelial_Stalk_Flt1_Vwf.2_2	14974	-0.0080864	-0.02351	0.0046658	0.95845	1	1
DropViz_all_level2	STR.Ependyma_Ccdc153_Ccdc153.1_1	14974	-0.0096677	-0.025354	0.0055632	0.95887	1	1
DropViz_all_level2	HC.Neuron_Slc17a7_C1ql2-Cck.4_1	14974	-0.015811	-0.043914	0.0090918	0.95897	1	1
