Cell_Type,NGENES,BETA,BETA_STD,SE,P,P.adj.pds,P.adj,cond_state,cond_cell_type,step3,Dataset,Source,TYPE,FULL_NAME
Sst_Nr2f2_Necab1,14940,-0.004841,-0.013363,0.012814,0.64721,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Sst_Nts,14940,0.0026694,0.0072185,0.012481,0.41532,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Sst_Rxfp1_Eya1,14940,-0.030401,-0.083349,0.012859,0.99096,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Sst_Rxfp1_Prdm8,14940,-0.0097222,-0.026838,0.013846,0.75871,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Sst_Tac1_Htr1d,14940,-0.027747,-0.075108,0.013936,0.97675,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Sst_Tac1_Tacr3,14940,-0.0082492,-0.021866,0.012084,0.75258,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Sst_Tac2_Myh4,14940,-0.0040948,-0.011242,0.012123,0.63223,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Sst_Tac2_Tacstd2,14940,-0.029643,-0.081781,0.01346,0.98617,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Arhgap36_Hmcn1,14940,-0.0083423,-0.021343,0.012751,0.74352,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Chat_Htr1f,14940,0.0062495,0.015495,0.011642,0.2957,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Col15a1_Pde1a,14940,0.0034227,0.0088948,0.010689,0.37441,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Crispld2_Htr2c,14940,0.002999,0.0075009,0.010922,0.39182,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Crispld2_Kcne4,14940,-0.0045079,-0.011647,0.011313,0.65486,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Gpc3_Slc18a3,14940,-0.0046756,-0.011984,0.0124,0.64694,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Igfbp4_Mab21l1,14940,-0.0016635,-0.0041357,0.011886,0.55565,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Igfbp6_Car10,14940,0.0042132,0.010827,0.012883,0.37182,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Igfbp6_Pltp,14940,-0.00046048,-0.0011613,0.011836,0.51552,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Lect1_Oxtr,14940,-0.0073893,-0.018684,0.012387,0.72459,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Lmo1_Fam159b,14940,-0.0091843,-0.024019,0.012008,0.77782,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Lmo1_Myl1,14940,-0.0044689,-0.011817,0.012141,0.64359,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Ptprt_Pkp2,14940,-0.0064712,-0.016176,0.012961,0.6912,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Pygm_C1ql1,14940,0.0093353,0.023828,0.013343,0.24208,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Rspo1_Itga4,14940,7.8949e-05,0.0001967,0.011494,0.49726,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
Vip_Rspo4_Rxfp1_Chat,14940,-0.0048901,-0.012235,0.012181,0.65595,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
VLMC_Osr1_Cd74,14940,-0.010372,-0.024041,0.0054826,0.97073,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
VLMC_Osr1_Mc5r,14940,-0.011907,-0.022567,0.0060618,0.97524,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
VLMC_Spp1_Col15a1,14940,-0.01657,-0.03347,0.0054515,0.99881,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
VLMC_Spp1_Hs3st6,14940,-0.013685,-0.025525,0.0055861,0.99285,,,,,,Allen_Mouse_VISp2_level3,magma_celltype_Allen_Mouse_VISp2_level3.gsa.out,COVAR,
ASC1,16849,-0.16109,-0.0066455,0.34877,0.67791,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
ASC2,16849,-0.40004,-0.017656,0.31393,0.89872,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
END,16849,-0.16003,-0.012667,0.13379,0.88416,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
exCA1,16849,0.26007,0.024937,0.24313,0.14238,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
exCA3,16849,0.0028512,0.00022253,0.25694,0.49557,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
exDG,16849,-0.1739,-0.013827,0.2497,0.75692,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
exPFC1,16849,0.34373,0.028266,0.29215,0.1197,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
exPFC2,16849,0.33922,0.046876,0.19529,0.041204,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
GABA1,16849,0.52757,0.03974,0.28101,0.03024,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
GABA2,16849,0.6849,0.050592,0.2803,0.0072787,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
MG,16849,-0.13439,-0.0044931,0.36634,0.64312,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
NSC,16849,-0.2456,-0.020838,0.13156,0.96903,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
ODC1,16849,0.37332,0.013493,0.34684,0.14089,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
ODC2,16849,0.26784,0.011451,0.29316,0.18047,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
OPC,16849,0.583,0.020061,0.42908,0.08713,,,,,,DroNc_Human_Hippocampus,magma_celltype_DroNc_Human_Hippocampus.gsa.out,COVAR,
ASC1,12528,-0.017917,-0.0014341,0.19798,0.53605,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
ASC2,12528,0.065776,0.0058503,0.17383,0.35257,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
END,12528,-0.076151,-0.008063,0.11929,0.73838,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exCA1,12528,0.13963,0.013599,0.27458,0.30554,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exCA3,12528,-0.053029,-0.0053179,0.27442,0.57661,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exDG,12528,-0.063367,-0.0058779,0.27261,0.5919,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exPFC1,12528,0.038764,0.0034996,0.36528,0.45774,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exPFC2,12528,0.30075,0.026553,0.39594,0.22376,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exPFC3,12528,-0.81289,-0.072109,0.43533,0.96906,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exPFC4,12528,-0.084879,-0.0078384,0.35882,0.59349,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exPFC5,12528,0.062929,0.0060466,0.32263,0.42268,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exPFC6,12528,-0.2415,-0.023144,0.30834,0.78325,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exPFC7,12528,0.42444,0.045405,0.25999,0.051297,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exPFC8,12528,0.31514,0.034353,0.25204,0.10559,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
exPFC9,12528,-0.099557,-0.0086949,0.40066,0.59812,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
GABA1,12528,0.13376,0.012393,0.29937,0.32751,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
GABA2,12528,0.39822,0.036557,0.32943,0.11338,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
MG,12528,0.39314,0.03218,0.30241,0.096808,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
ODC,12528,0.29767,0.022208,0.20398,0.072253,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
OPC,12528,0.2833,0.022091,0.26113,0.13899,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
SMC,12528,-0.78926,-0.062973,0.31093,0.99443,,,,,,DroNc_Mouse_Hippocampus,magma_celltype_DroNc_Mouse_Hippocampus.gsa.out,COVAR,
CB.Neuron,14974,0.025633,0.069245,0.006751,7.3562e-05,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
CB.Endothelial_stalk,14974,-0.013787,-0.039047,0.006246,0.98635,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
CB.Endothelial_tip,14974,-0.014787,-0.040061,0.0054607,0.99661,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
CB.Mural,14974,-0.016994,-0.045919,0.0052963,0.99933,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
CB.Microglia,14974,-0.0028677,-0.0088349,0.0040335,0.76144,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
CB.Oligodendrocyte,14974,0.0021381,0.0058315,0.0066428,0.37378,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
CB.Polydendrocyte,14974,-0.00097367,-0.0029991,0.0040587,0.59479,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
CB.Astrocyte,14974,0.00064256,0.0017195,0.0070068,0.46347,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
CB.Choroid_plexus,14974,-0.0072635,-0.020114,0.0051439,0.92102,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
FC.Neuron,14974,0.032027,0.084858,0.0068288,1.3787e-06,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
FC.Polydendrocyte,14974,0.021968,0.057562,0.01039,0.017249,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
FC.Microglia,14974,-0.0042361,-0.011183,0.0058229,0.76653,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
FC.Macrophage,14974,0.000896,0.0025072,0.006031,0.44095,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
FC.Endothelial_stalk,14974,-0.0086143,-0.023047,0.0079809,0.85978,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
FC.Mural,14974,-0.019211,-0.050607,0.0084642,0.98838,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
FC.Endothelial_tip,14974,-0.016946,-0.044154,0.0083158,0.97921,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
FC.Astrocyte,14974,0.015166,0.038936,0.0092926,0.05135,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
FC.Oligodendrocyte,14974,0.022759,0.059343,0.0092949,0.007178,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
PC.Neuron,14974,0.032139,0.086433,0.0066499,6.793e-07,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
PC.Polydendrocyte,14974,0.014313,0.038577,0.0088354,0.052627,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
PC.Microglia,14974,0.001686,0.0038252,0.0058351,0.38631,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
PC.Macrophage,14974,0.0019703,0.0056639,0.005595,0.36236,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
PC.Endothelial_stalk,14974,-0.010204,-0.027542,0.0080174,0.89844,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
PC.Mural,14974,-0.014486,-0.038143,0.0073194,0.97609,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
PC.Endothelial_tip,14974,-0.006603,-0.017067,0.0083918,0.78431,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
PC.Astrocyte,14974,0.019802,0.051439,0.0090934,0.014724,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
PC.Oligodendrocyte,14974,0.019576,0.05179,0.0090328,0.015117,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
ENT.Oligodendrocyte,14974,0.010827,0.028062,0.0085205,0.10192,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
ENT.Endothelial_stalk,14974,-0.015712,-0.043441,0.0070802,0.98675,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
ENT.Mural,14974,-0.013702,-0.035755,0.0064965,0.98253,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
ENT.Endothelial_tip,14974,-0.009856,-0.029943,0.0043806,0.98776,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
ENT.Neuron,14974,0.028282,0.074017,0.0066635,1.1032e-05,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
ENT.Polydendrocyte,14974,0.013717,0.036783,0.0086998,0.057444,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
ENT.Astrocyte,14974,0.00041114,0.0011159,0.0069211,0.47632,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
GP.Neuron,14974,0.036066,0.094756,0.0067771,5.2163e-08,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
GP.Oligodendrocyte,14974,0.021684,0.057074,0.008766,0.0066922,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
GP.Microglia,14974,0.00084441,0.0023622,0.0058297,0.44242,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
GP.Macrophage,14974,0.0036244,0.010226,0.0056786,0.26166,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
GP.Polydendrocyte,14974,0.024748,0.061503,0.0093446,0.004049,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
GP.Mitotic,14974,0.002388,0.0077746,0.0035736,0.252,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
GP.Astrocyte,14974,0.015049,0.039273,0.0084019,0.03665,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
GP.Ependymal,14974,-0.0047227,-0.013841,0.0045818,0.84866,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
GP.Endothelial_stalk,14974,-0.011104,-0.030162,0.0076142,0.92762,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
GP.Mural,14974,-0.020901,-0.054906,0.0073813,0.99768,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
GP.Endothelial_tip,14974,-0.023948,-0.064877,0.007151,0.99959,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Neuron,14974,0.029025,0.078043,0.0068428,1.1159e-05,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Microglia,14974,0.004515,0.012164,0.0067589,0.25207,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Macrophage,14974,-0.0038222,-0.011239,0.004927,0.78105,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Ependymal,14974,-0.0075241,-0.019801,0.0061128,0.89081,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Choroid_plexus,14974,-0.0036129,-0.0097094,0.0057678,0.73447,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Neurogenesis,14974,-0.0073251,-0.019721,0.0073763,0.83965,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Endothelial_stalk,14974,-0.011485,-0.031331,0.0072409,0.94363,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Mural,14974,-0.023597,-0.063039,0.007465,0.99921,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Endothelial_tip,14974,-0.024785,-0.064742,0.0074826,0.99954,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Astrocyte,14974,0.0058776,0.015297,0.0089839,0.25649,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Oligodendrocyte,14974,0.01123,0.029562,0.0084401,0.09167,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
HC.Polydendrocyte,14974,0.01538,0.041418,0.0091159,0.045797,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
STR.Ependymal,14974,-0.0056939,-0.014933,0.0061819,0.82148,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
STR.Neuron,14974,0.017865,0.047664,0.0068631,0.0046244,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
STR.Neurogenesis,14974,-0.010681,-0.029228,0.0065539,0.94841,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
STR.Oligodendrocyte,14974,0.013301,0.035102,0.0083039,0.054612,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
STR.Astrocyte,14974,-0.0059764,-0.015548,0.0083936,0.76177,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
STR.Polydendrocyte,14974,0.0011464,0.0030296,0.0082511,0.44475,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
STR.Macrophage,14974,-0.0026332,-0.0080251,0.0040732,0.74101,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
STR.Microglia,14974,0.0043021,0.011547,0.0066702,0.25948,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
STR.Endothelial_stalk,14974,-0.017231,-0.046821,0.0075841,0.98845,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
STR.Mural,14974,-0.026639,-0.071074,0.0070825,0.99992,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
STR.Endothelial_tip,14974,-0.013427,-0.037615,0.006263,0.98397,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
SN.Neuron,14974,0.041048,0.10771,0.006881,1.2489e-09,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
SN.Oligodendrocyte,14974,0.017962,0.045717,0.0091431,0.024741,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
SN.Endothelial_stalk,14974,-0.010282,-0.027769,0.0075768,0.91261,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
SN.Mural,14974,-0.023798,-0.062204,0.0074265,0.99932,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
SN.Endothelial_tip,14974,-0.014752,-0.036847,0.0063209,0.99019,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
SN.Polydendrocyte,14974,0.026644,0.069982,0.0089874,0.0015178,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
SN.Astrocyte,14974,0.011593,0.029321,0.0074298,0.059343,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
SN.Ependymal,14974,-0.0045699,-0.014187,0.0038135,0.8846,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
SN.Macrophage,14974,-0.00041541,-0.0011956,0.005475,0.53024,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
SN.Microglia,14974,-0.00020474,-0.00063093,0.0036075,0.52263,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
TH.Neuron,14974,0.036718,0.095369,0.0070546,9.8434e-08,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
TH.Ependymal,14974,-0.0033533,-0.0088608,0.0059816,0.71246,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
TH.Astrocyte,14974,0.01254,0.032447,0.0077208,0.052182,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
TH.Polydendrocyte,14974,0.019759,0.052776,0.0088687,0.012951,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
TH.Endothelial_stalk,14974,-0.01497,-0.040164,0.0071268,0.98215,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
TH.Mural,14974,-0.013793,-0.036332,0.007909,0.9594,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
TH.Endothelial_tip,14974,-0.014348,-0.038852,0.0066918,0.98398,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
TH.Macrophage,14974,0.00033037,0.00095097,0.0052163,0.47475,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
TH.Microglia,14974,0.0077,0.021629,0.0059807,0.098976,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
TH.Oligodendrocyte,14974,0.019934,0.050775,0.0093342,0.016365,,,,,,DropViz_all_level1,magma_celltype_DropViz_all_level1.gsa.out,COVAR,
CB.Neuron_Slc17a7_Gabra6.1_1,14974,-0.00254,-0.0071509,0.0080607,0.62366,,,,,,DropViz_all_level2,magma_celltype_DropViz_all_level2.gsa.out,COVAR,CB.Neuron_Slc17a7_Gabra6.1_1
CB.Endothelial_Stalk_Flt1_Mg...,14974,-0.0072046,-0.021379,0.0044834,0.94596,,,,,,DropViz_all_level2,magma_celltype_DropViz_all_level2.gsa.out,COVAR,CB.Endothelial_Stalk_Flt1_Mgp.10_1
CB.Endothelial_Stalk_Flt1_Ca...,14974,-0.008182,-0.024169,0.0045495,0.96393,,,,,,DropViz_all_level2,magma_celltype_DropViz_all_level2.gsa.out,COVAR,CB.Endothelial_Stalk_Flt1_Car4.10_2
CB.Endothelial_Stalk_Flt1_Lr...,14974,-0.013649,-0.040583,0.0045756,0.99857,,,,,,DropViz_all_level2,magma_celltype_DropViz_all_level2.gsa.out,COVAR,CB.Endothelial_Stalk_Flt1_Lrg1.10_3
CB.Endothelial_Tip_Dcn_Nnat....,14974,-0.0092772,-0.02678,0.0042307,0.98583,,,,,,DropViz_all_level2,magma_celltype_DropViz_all_level2.gsa.out,COVAR,CB.Endothelial_Tip_Dcn_Nnat.11_1
CB.Endothelial_Tip_Dcn_Apod....,14974,-0.0091405,-0.027028,0.0038339,0.99143,,,,,,DropViz_all_level2,magma_celltype_DropViz_all_level2.gsa.out,COVAR,CB.Endothelial_Tip_Dcn_Apod.11_2
CB.Mural_Acta2Rgs5_Acta2.11_3,14974,-0.011135,-0.033759,0.0040109,0.99725,,,,,,DropViz_all_level2,magma_celltype_DropViz_all_level2.gsa.out,COVAR,CB.Mural_Acta2Rgs5_Acta2.11_3
CB.Mural_Acta2Rgs5_Kcnj8.11_4,14974,-0.0092731,-0.029317,0.0033696,0.99703,,,,,,DropViz_all_level2,magma_celltype_DropViz_all_level2.gsa.out,COVAR,CB.Mural_Acta2Rgs5_Kcnj8.11_4
