Trait1,Trait2,Trait1_code,Trait2_code,corr
parkinsons disease,ventolin 2mg tablet,HC206,MED1140862060,0.254187399172588
parkinsons disease,keppra 250mg tablet,HC206,MED1141171940,0.253895995751914
parkinsons disease,fracture ulna,HC206,HC380,0.253884654018336
parkinsons disease,Volume of grey matter in Parietal Operculum Cortex (left),HC206,INI25866,0.253785040881696
Parkinson's disease,osteoarthritis,FH1262,HC376,0.253782721039475
parkinsons disease,bricanyl 250mcg inhaler,HC206,MED1140862168,0.2535828378163
Parkinson's disease,Median T2star in amygdala (right),FH1262,INI25037,0.253549094881721
Parkinson's disease,parathyroid gland problem (not cancer),FH1262,HC208,0.253467483066557
parkinsons disease,zolmitriptan,HC206,MED1141150620,0.253432613655815
parkinsons disease,carmellose,HC206,MED1140883968,0.253425155419043
parkinsons disease,adizem-60 m/r tablet,HC206,MED1140861138,0.253143483825087
Parkinson's disease,avodart 500micrograms capsule,FH1262,MED1141192004,0.253057040922722
parkinsons disease,"Volume of grey matter in Middle Temporal Gyrus, anterior division (left)",HC206,INI25802,0.252946595567577
Parkinson's disease,optic neuritis,FH1262,HC358,0.252874233839409
parkinsons disease,aspirin,HC206,MED1140868226,0.252685581303042
Parkinson's disease,adalat 5mg capsule,FH1262,MED1140861090,0.252489260247598
parkinsons disease,essential hypertension,HC206,HC273,0.252060866058436
Parkinson's disease,deliberate self-harm/suicide attempt,FH1262,HC152,0.252055363304757
parkinsons disease,subdural haemorrhage/haematoma,HC206,HC239,0.251612731730504
Parkinson's disease,Abdominal subcutaneous adipose tissue volume (ASAT),FH1262,INI22408,0.251506447727572
Parkinson's disease,Cylindrical power (right),FH1262,INI5087,0.251382725209747
parkinsons disease,solpadeine tablet,HC206,MED1141168648,0.251272125214762
Parkinson's disease,depakote 250mg e/c tablet,FH1262,MED1141172838,0.251199837858874
Parkinson's disease,Volume of grey matter in Supracalcarine Cortex (right),FH1262,INI25875,0.251050744753713
Parkinson's disease,chronic lymphocytic,FH1262,cancer1055,0.250908621449878
parkinsons disease,Time spend outdoors in summer,HC206,INI1050,0.250823594720167
parkinsons disease,non-infective hepatitis,HC206,HC210,0.250741340462664
Parkinson's disease,Longest period of unenthusiasm/disinterest,FH1262,INI5375,0.250699456941634
parkinsons disease,Volume of grey matter in Angular Gyrus (right),HC206,INI25823,0.250593186859468
parkinsons disease,micronor tablet,HC206,MED1140869276,0.250589729698509
parkinsons disease,timoptol 0.25% eye drops,HC206,MED1140881882,0.250517611154335
parkinsons disease,calfovit d3 powder for oral suspension,HC206,MED1141191312,0.250517119630051
Parkinson's disease,coversyl 2mg tablet,FH1262,MED1140860802,0.250432076619868
parkinsons disease,chronic skin ulcers,HC206,HC229,0.25035942912852
parkinsons disease,Volume of grey matter in Subcallosal Cortex (right),HC206,INI25835,0.25029255541288
parkinsons disease,selenium ace tablet,HC206,MED1140911682,0.249719849838556
Parkinson's disease,piroxicam,FH1262,MED1140871666,0.249406223110545
Parkinson's disease,acute myeloid leukaemia,FH1262,cancer1074,0.249220261657508
parkinsons disease,osteomyelitis,HC206,HC104,0.249177988860584
parkinsons disease,questran 4g/sachet powder,HC206,MED1140861936,0.2488807120912
Parkinson's disease,lactulose product,FH1262,MED1140865800,0.248427399421073
parkinsons disease,Mean FA in middle cerebellar peduncle on FA skeleton,HC206,INI25056,0.248272281774245
Parkinson's disease,benign breast lump,FH1262,HC58,0.24800293874633
parkinsons disease,"Volume of grey matter in Inferior Temporal Gyrus, posterior division (left)",HC206,INI25810,0.247960296735307
Parkinson's disease,chronic fatigue syndrome,FH1262,HC72,0.247349526015036
parkinsons disease,enalapril,HC206,MED1140888552,0.247313692343521
parkinsons disease,encephalitis,HC206,HC270,0.247254112814422
parkinsons disease,Volume of grey matter in Frontal Orbital Cortex (right),HC206,INI25847,0.247188837832966
Parkinson's disease,piriteze 10mg tablet,FH1262,MED1141179830,0.24707773834659
parkinsons disease,hypopituitarism,HC206,HC441,0.246703878938628
Parkinson's disease,thyroid problem (not cancer),FH1262,HC180,0.246692053297081
Parkinson's disease,timoptol 0.25% eye drops,FH1262,MED1140881882,0.246679352136725
parkinsons disease,uniphyllin continus 200mg m/r tablet,HC206,MED1140862438,0.246609615594705
parkinsons disease,Volume of grey matter in Frontal Pole (left),HC206,INI25782,0.246537748268633
Parkinson's disease,gastric/stomach ulcers,FH1262,HC209,0.246299342268289
Parkinson's disease,efexor 37.5mg tablet,FH1262,MED1140916288,0.246256211363806
parkinsons disease,respiratory/intrathoracic cancer,HC206,cancer1084,0.246210730622303
parkinsons disease,Volume of grey matter in Frontal Medial Cortex (left),HC206,INI25830,0.246172348229121
Parkinson's disease,Weighted-mean OD in tract cingulate gyrus part of cingulum (left),FH1262,INI25681,0.24591101715051
parkinsons disease,Mean FA in inferior cerebellar peduncle on FA skeleton (right),HC206,INI25066,0.245832376504065
parkinsons disease,benign/essential tremor,HC206,HC300,0.245758395664078
parkinsons disease,atrial flutter,HC206,HC440,0.245733800398069
parkinsons disease,oilatum cream,HC206,MED1140878324,0.245724162502197
Parkinson's disease,Mean sphered cell volume,FH1262,INI30270,0.245648634030855
Parkinson's disease,dorzolamide+timolol,FH1262,MED1141169516,0.245583938731058
parkinsons disease,Age lung cancer (not mesothelioma) diagnosed by doctor,HC206,INI22160,0.245563128659145
Parkinson's disease,mirena 52mg intrauterine system,FH1262,MED1140921814,0.245248326939807
parkinsons disease,psoriatic arthropathy,HC206,HC91,0.245199736147802
parkinsons disease,Volume of grey matter in Occipital Fusiform Gyrus (left),HC206,INI25860,0.245175340663592
parkinsons disease,rosiglitazone,HC206,MED1141177600,0.245053514761555
Parkinson's disease,desmopressin,FH1262,MED1140868816,0.244887008026542
Parkinson's disease,other abdominal problem,FH1262,HC421,0.244701324252381
parkinsons disease,Weighted-mean ICVF in tract uncinate fasciculus (left),HC206,INI25675,0.244657226395371
parkinsons disease,atrial fibrillation,HC206,HC281,0.244571715414425
parkinsons disease,amisulpride,HC206,MED1141153490,0.24438099073771
Parkinson's disease,codeine phosphate+kaolin 10mg/3g/10ml mixture,FH1262,MED1140865654,0.244380806821713
Parkinson's disease,gastrointestinal bleeding,FH1262,HC27,0.244020308349276
parkinsons disease,Weighted-mean OD in tract corticospinal tract (left),HC206,INI25685,0.243963171318357
parkinsons disease,Volume of grey matter in Insular Cortex (left),HC206,INI25784,0.243459605926447
parkinsons disease,"Volume of grey matter in Superior Temporal Gyrus, anterior division (left)",HC206,INI25798,0.243301336487253
Parkinson's disease,terazosin,FH1262,MED1140879798,0.242979921960601
Parkinson's disease,Weighted-mean ISOVF in tract medial lemniscus (left),FH1262,INI25721,0.242944386074073
Parkinson's disease,Speech-reception-threshold (SRT) estimate (right),FH1262,INI20021,0.242864697205783
Parkinson's disease,hiv/aids,FH1262,HC429,0.242839651534538
parkinsons disease,QRS duration,HC206,INI12340,0.242155386307297
Parkinson's disease,pizotifen,FH1262,MED1140883664,0.241870408321573
parkinsons disease,celiprolol,HC206,MED1140879762,0.241750198522434
parkinsons disease,lecithin product,HC206,MED1140911640,0.24170890894135
Parkinson's disease,"Volume of grey matter in Supramarginal Gyrus, anterior division (left)",FH1262,INI25818,0.241629108549778
Parkinson's disease,fracture pelvis,FH1262,HC223,0.241452031724091
parkinsons disease,dorzolamide+timolol,HC206,MED1141169516,0.241296715656756
Parkinson's disease,testosterone product,FH1262,MED1140868532,0.241281909713365
parkinsons disease,care cetirizine hayfever relief 10mg tablet,HC206,MED1141187230,0.241050132237633
Parkinson's disease,fucibet cream,FH1262,MED1140882776,0.241038545769463
Parkinson's disease,schizophrenia,FH1262,HC246,0.240953708513853
parkinsons disease,anusol cream,HC206,MED1140865816,0.240928008703989
parkinsons disease,Volume of caudate (left),HC206,INI25013,0.240688785905537
Parkinson's disease,fosinopril,FH1262,MED1140888556,0.240469585639358
parkinsons disease,hyoscine butylbromide,HC206,MED1140865394,0.240038747195544
Parkinson's disease,prolapsed disc/slipped disc,FH1262,HC176,0.239946165054789
Parkinson's disease,Miserableness,FH1262,BIN1930,0.239816152527937
Parkinson's disease,ramipril,FH1262,MED1140860806,0.239694891174408
parkinsons disease,manevac granules,HC206,MED1140879392,0.239674462235205
Parkinson's disease,Arm BMC (bone mineral content) (right),FH1262,INI23222,0.239522677039315
Parkinson's disease,colitis/not crohns or ulcerative colitis,FH1262,HC307,0.23927073025853
parkinsons disease,hydrocortisone,HC206,MED1140874896,0.239003007007959
parkinsons disease,nuvelle tablet,HC206,MED1140868518,0.238911087768434
Parkinson's disease,rosacea,FH1262,HC150,0.238764487050033
parkinsons disease,blistering/desquamating skin disorder,HC206,HC347,0.238311495009186
Parkinson's disease,dothiepin,FH1262,MED1140879628,0.238279366601555
parkinsons disease,salbutamol 100micrograms spacehaler,HC206,MED1140926606,0.238263110038647
parkinsons disease,topiramate,HC206,MED1140923484,0.238147457262577
parkinsons disease,cod liver oil capsule,HC206,MED1140909674,0.237383036052742
parkinsons disease,Signal-to-noise-ratio (SNR) of triplet (left),HC206,INI4230,0.237246640309003
Parkinson's disease,verapamil,FH1262,MED1140888510,0.237184032353069
Parkinson's disease,Weighted-mean MO in tract superior thalamic radiation (left),FH1262,INI25565,0.236787813582659
Parkinson's disease,pericardial problem,FH1262,HC213,0.236621006573452
Parkinson's disease,Arm BMC (bone mineral content) (left),FH1262,INI23220,0.236590064806251
parkinsons disease,naprosyn 250mg tablet,HC206,MED1140871472,0.236499200278801
Parkinson's disease,pariet 10mg e/c tablet,FH1262,MED1141168590,0.236422244886676
Parkinson's disease,ear/vestibular disorder,FH1262,HC435,0.235901676758615
parkinsons disease,Average weekly red wine intake,HC206,INI1568,0.235759618778195
parkinsons disease,Volume of grey matter in Precuneous Cortex (left),HC206,INI25842,0.235636757997117
Parkinson's disease,prostate problem (not cancer),FH1262,HC342,0.235596949136246
parkinsons disease,ismn - isosorbide mononitrate,HC206,MED1140888762,0.235170881673627
parkinsons disease,Volume of grey matter in Central Opercular Cortex (right),HC206,INI25865,0.235026479987074
Parkinson's disease,iron+folic acid,FH1262,MED1140870306,0.235016263336368
parkinsons disease,sick sinus syndrome,HC206,HC35,0.23485404155935
parkinsons disease,imdur 60mg durule,HC206,MED1140860976,0.234822374607956
Parkinson's disease,Leg bone area (right),FH1262,INI23316,0.234662657065408
parkinsons disease,Bring up phlegm/sputum/mucus on most days,HC206,BIN22504,0.234621841575788
parkinsons disease,giant cell/temporal arteritis,HC206,HC338,0.234596334402085
parkinsons disease,Volume of grey matter in Subcallosal Cortex (left),HC206,INI25834,0.234478524530963
Parkinson's disease,Posterior thigh lean muscle volume (left),FH1262,INI22406,0.234223386194591
parkinsons disease,Signal-to-noise-ratio (SNR) of triplet (right),HC206,INI4241,0.234182126926592
parkinsons disease,Volume of grey matter in Frontal Orbital Cortex (left),HC206,INI25846,0.234152152846106
Parkinson's disease,colofac-100 tablet,FH1262,MED1141167334,0.23349704387879
Parkinson's disease,paroxetine,FH1262,MED1140867888,0.233480457999565
parkinsons disease,desloratadine,HC206,MED1141172924,0.233451266920899
parkinsons disease,Volume of grey matter in Lingual Gyrus (left),HC206,INI25852,0.233351348860042
Parkinson's disease,cyclizine,FH1262,MED1140868080,0.232937203522335
parkinsons disease,Mean FA in corticospinal tract on FA skeleton (left),HC206,INI25063,0.232740146441465
parkinsons disease,gestational diabetes,HC206,HC369,0.232564772603729
parkinsons disease,didronel 200mg tablet,HC206,MED1140868772,0.232526046354909
parkinsons disease,desmopressin,HC206,MED1140868816,0.232493039657517
Parkinson's disease,rennie duo oral suspension,FH1262,MED1141166086,0.23248337741658
parkinsons disease,metoclopramide,HC206,MED1140879494,0.232443738680648
parkinsons disease,losartan,HC206,MED1140916356,0.232405714074271
Parkinson's disease,Weighted-mean L2 in tract uncinate fasciculus (left),FH1262,INI25621,0.232400067273915
parkinsons disease,acute infective polyneuritis/guillain-barre syndrome,HC206,HC250,0.232359405636412
Parkinson's disease,macular degeneration,FH1262,HC434,0.232316429185867
Parkinson's disease,antihypertensive,FH1262,MED1140888578,0.232311990535925
parkinsons disease,trimovate ointment,HC206,MED1140884700,0.232134076781469
Parkinson's disease,pramipexole,FH1262,MED1141164060,0.232096691294315
parkinsons disease,allergy/hypersensitivity/anaphylaxis,HC206,HC366,0.231867738282208
Parkinson's disease,elleste-solo 1mg tablet,FH1262,MED1140923852,0.231369009370351
parkinsons disease,thyroid cancer,HC206,cancer1065,0.231360281522164
Parkinson's disease,dixarit 25mcg tablet,FH1262,MED1140871984,0.231198519268801
Parkinson's disease,Ever highly irritable/argumentative for 2 days,FH1262,BIN4653,0.231021365309368
parkinsons disease,Mean ISOVF in splenium of corpus callosum on FA skeleton,HC206,INI25444,0.23096392911546
parkinsons disease,magnesium citrate,HC206,MED1140865872,0.230750681977761
parkinsons disease,Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (right),HC206,INI25482,0.230700158606144
Parkinson's disease,Cascot confidence score,FH1262,INI20121,0.230686237708798
Parkinson's disease,Weighted-mean ICVF in tract uncinate fasciculus (left),FH1262,INI25675,0.230643312884038
parkinsons disease,canesten 1% cream,HC206,MED1140878530,0.230433507264058
Parkinson's disease,fracture shoulder/scapula,FH1262,HC396,0.230410114323927
parkinsons disease,zydol 50mg capsule,HC206,MED1140865000,0.230368112832641
Parkinson's disease,whooping cough/pertussis,FH1262,HC282,0.230255245244194
parkinsons disease,Weighted-mean ISOVF in tract medial lemniscus (left),HC206,INI25721,0.230251617954999
parkinsons disease,Volume of grey matter in Crus I Cerebellum (right),HC206,INI25902,0.230231180259621
Parkinson's disease,Legs combined bone area,FH1262,INI23318,0.230139359915201
Parkinson's disease,balsalazide disodium,FH1262,MED1141153242,0.230068672260856
parkinsons disease,Volumetric scaling from T1 head image to standard space,HC206,INI25000,0.230036586857261
Parkinson's disease,allergy to house dust mite,FH1262,HC248,0.229773024684802
parkinsons disease,L1-L4 area,HC206,INI23200,0.229553196767272
Parkinson's disease,tolterodine l-tartrate,FH1262,MED1141162764,0.229486834162066
parkinsons disease,balsalazide disodium,HC206,MED1141153242,0.229395856966786
parkinsons disease,"Volume of grey matter in Superior Temporal Gyrus, posterior division (right)",HC206,INI25801,0.2293808318121
Parkinson's disease,felodipine,FH1262,MED1140888646,0.229346276343032
parkinsons disease,Volume of grey matter in Lingual Gyrus (right),HC206,INI25853,0.229338644563673
Parkinson's disease,amlodipine,FH1262,MED1140879802,0.229225053500477
parkinsons disease,candesartan cilexetil,HC206,MED1141156836,0.229082202796978
Parkinson's disease,mebeverine,FH1262,MED1140879428,0.228948791777688
Parkinson's disease,propranolol,FH1262,MED1140879842,0.228547852149788
parkinsons disease,mercilon tablet,HC206,MED1140869164,0.228444814055952
parkinsons disease,doublebase gel,HC206,MED1141174032,0.228361716395269
parkinsons disease,non-hodgkins lymphoma,HC206,cancer1053,0.228296453524347
Parkinson's disease,Weighted-mean ISOVF in tract corticospinal tract (right),FH1262,INI25713,0.228070486253767
Parkinson's disease,Arms BMC (bone mineral content),FH1262,INI23224,0.227852346260787
Parkinson's disease,fracture thumb,FH1262,HC296,0.22765664748905
parkinsons disease,Ventricular rate,HC206,INI12336,0.227479240899573
Parkinson's disease,Chronic bronchitis/emphysema,FH1262,FH1113,0.22746688969136
Parkinson's disease,pneumonia,FH1262,HC36,0.227388008494798
Parkinson's disease,Weighted-mean L3 in tract uncinate fasciculus (left),FH1262,INI25648,0.227237628212885
Parkinson's disease,kidney/renal cell cancer,FH1262,cancer1034,0.22717780354657
Parkinson's disease,gamolenic acid,FH1262,MED1140880072,0.227101048443638
parkinsons disease,persantin 25mg tablet,HC206,MED1140861780,0.227044217871732
Parkinson's disease,abnormal smear (cervix),FH1262,HC232,0.226949745820176
parkinsons disease,Volume of grey matter in Putamen (right),HC206,INI25883,0.226707388612568
Parkinson's disease,Volume of grey matter in Thalamus (right),FH1262,INI25879,0.226610007188831
parkinsons disease,renal failure requiring dialysis,HC206,HC46,0.226594230530487
parkinsons disease,Volume of grey matter in Heschl's Gyrus (includes H1 and H2) (left),HC206,INI25870,0.226593152806076
parkinsons disease,leukaemia,HC206,cancer1048,0.226589240410152
Parkinson's disease,fracture toe,FH1262,HC256,0.226319549651656
Parkinson's disease,Traffic intensity on the nearest major road,FH1262,INI24011,0.226284401627249
parkinsons disease,Age sarcoidosis diagnosed by doctor,HC206,INI22153,0.226263104368947
Parkinson's disease,dipyridamole,FH1262,MED1140861778,0.226226474356748
Parkinson's disease,glyceryl trinitrate,FH1262,MED1140860834,0.226171021976599
parkinsons disease,oramorph 10mg/5ml oral solution,HC206,MED1140882272,0.226070795841336
Parkinson's disease,hodgkins lymphoma/hodgkins disease,FH1262,cancer1052,0.225975341820525
Parkinson's disease,levocetirizine,FH1262,MED1141184748,0.225875855487183
parkinsons disease,xalacom 0.005%/0.5% eye drops,HC206,MED1141184726,0.225550313705844
parkinsons disease,Weighted-mean ISOVF in tract parahippocampal part of cingulum (right),HC206,INI25711,0.225412402871916
parkinsons disease,metronidazole,HC206,MED1140874014,0.225275412226877
parkinsons disease,cinnarizine,HC206,MED1140883524,0.225259652684006
Parkinson's disease,sarcoidosis,FH1262,HC170,0.225198280159152
parkinsons disease,pulmicort ls 50micrograms inhaler,HC206,MED1140862574,0.224660206504082
parkinsons disease,Volume of grey matter in Intracalcarine Cortex (right),HC206,INI25829,0.224608197986616
parkinsons disease,co-tenidone,HC206,MED1140923336,0.224570763271245
Parkinson's disease,peppermint oil product,FH1262,MED1140865414,0.224356783307851
parkinsons disease,Mean ISOVF in anterior corona radiata on FA skeleton (left),HC206,INI25463,0.224012161601564
parkinsons disease,neoclarityn 5mg tablet,HC206,MED1141172928,0.223947092337931
parkinsons disease,fluoxetine,HC206,MED1140879540,0.223881783410684
parkinsons disease,Volume of peripheral cortical grey matter,HC206,INI25002,0.223653339274306
parkinsons disease,simvastatin,HC206,MED1140861958,0.223610252180257
parkinsons disease,noriday tablet,HC206,MED1140869278,0.223524294357964
Parkinson's disease,tibolone,FH1262,MED1140868482,0.223393227120962
parkinsons disease,marvelon tablet,HC206,MED1140869162,0.223201117598852
parkinsons disease,Weighted-mean MO in tract forceps major,HC206,INI25552,0.222953242114444
Parkinson's disease,mefenamic acid,FH1262,MED1140871542,0.222634892463532
parkinsons disease,climesse tablet,HC206,MED1140926430,0.22225969141244
parkinsons disease,"Volume of brain, grey+white",HC206,INI25010,0.222217339681225
parkinsons disease,Volume of grey matter in Amygdala (right),HC206,INI25889,0.222127056798561
parkinsons disease,benign neuroma,HC206,HC329,0.222042359167881
parkinsons disease,adalate 10mg capsule,HC206,MED1140881702,0.221972359646709
parkinsons disease,Volume of brain stem + 4th ventricle,HC206,INI25025,0.221934770926818
parkinsons disease,Tea intake,HC206,INI1488,0.221934699826428
Parkinson's disease,Mean FA in fornix on FA skeleton,FH1262,INI25061,0.221680449568359
Parkinson's disease,adizem-xl plus m/r capsule,FH1262,MED1140926780,0.221657123142756
Parkinson's disease,"Systolic blood pressure, manual reading",FH1262,INI93,0.221602638012552
parkinsons disease,bumetanide,HC206,MED1140866280,0.221460082326234
parkinsons disease,glucophage 500mg tablet,HC206,MED1140874686,0.221327894669274
parkinsons disease,Volume of grey matter,HC206,INI25006,0.221277824216955
Parkinson's disease,femulen tablet,FH1262,MED1140869362,0.221254896042308
parkinsons disease,Weighted-mean L1 in tract forceps major,HC206,INI25579,0.220957879406805
parkinsons disease,movelat cream,HC206,MED1140875630,0.220572350995133
Parkinson's disease,xalacom 0.005%/0.5% eye drops,FH1262,MED1141184726,0.220441966978339
parkinsons disease,Volume of grey matter in Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (left),HC206,INI25832,0.2203595595823
Parkinson's disease,nizatidine,FH1262,MED1140865618,0.2201683667457
parkinsons disease,oesophageal varicies,HC206,HC445,0.220167823183173
parkinsons disease,pleural effusion,HC206,HC146,0.220072524409857
parkinsons disease,Volume of grey matter in Precentral Gyrus (right),HC206,INI25795,0.220065081197913
parkinsons disease,sarcoidosis,HC206,HC170,0.219814690441779
parkinsons disease,Weighted-mean ISOVF in tract inferior longitudinal fasciculus (left),HC206,INI25718,0.219721404618713
parkinsons disease,Creatinine (enzymatic) in urine,HC206,INI30510,0.219664416656812
Parkinson's disease,esomeprazole,FH1262,MED1141177526,0.219618691846696
Parkinson's disease,fracture upper arm/humerus/elbow,FH1262,HC290,0.219592363911186
Parkinson's disease,heart/cardiac problem,FH1262,HC88,0.219421930981454
Parkinson's disease,bursitis,FH1262,HC204,0.21929196770942
Parkinson's disease,lorazepam,FH1262,MED1140863302,0.21928255573594
Parkinson's disease,nervous breakdown,FH1262,HC40,0.219223118174932
parkinsons disease,migril tablet,HC206,MED1140872058,0.218946536577581
parkinsons disease,systemic lupus erythematosis/sle,HC206,HC352,0.218622875926253
Parkinson's disease,Total thigh muscle volume,FH1262,INI22409,0.218549960718331
parkinsons disease,Traffic intensity on the nearest road,HC206,INI24009,0.218343085073385
Parkinson's disease,Weighted-mean L2 in tract corticospinal tract (left),FH1262,INI25604,0.218241834892716
Parkinson's disease,"Volume of grey matter in Temporal Fusiform Cortex, anterior division (right)",FH1262,INI25855,0.218066866856758
parkinsons disease,Mean FA in anterior limb of internal capsule on FA skeleton (left),HC206,INI25073,0.217458700073288
parkinsons disease,peptac liquid,HC206,MED1141168752,0.217343682856951
parkinsons disease,flu - influenza vaccine,HC206,MED1140910498,0.217176226360031
Parkinson's disease,Number of cigarettes currently smoked daily (current cigarette smokers),FH1262,INI3456,0.217041417345302
parkinsons disease,dyspepsia/indigestion,HC206,HC316,0.217037120034121
parkinsons disease,Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left),HC206,INI25708,0.2170281195184
Parkinson's disease,Ever had eye surgery,FH1262,BIN5181,0.216982530720702
Parkinson's disease,bumetanide,FH1262,MED1140866280,0.216901993185285
Parkinson's disease,bile duct obstruction/ascending cholangitis,FH1262,HC44,0.216799292544507
parkinsons disease,Volume of accumbens (left),HC206,INI25023,0.216762601846986
Parkinson's disease,lichen planus,FH1262,HC39,0.216711705828331
parkinsons disease,Volume of hippocampus (right),HC206,INI25020,0.216489308883999
parkinsons disease,Volume of white matter,HC206,INI25008,0.216409257011119
parkinsons disease,ciprofloxacin,HC206,MED1140874138,0.216407517891922
parkinsons disease,omeprazole,HC206,MED1140865634,0.216084221938859
parkinsons disease,nicotine product,HC206,MED1140872492,0.216061929514199
Parkinson's disease,pleurisy,FH1262,HC34,0.215914671874819
parkinsons disease,fluvastatin,HC206,MED1140888594,0.215760940856262
parkinsons disease,Weighted-mean OD in tract parahippocampal part of cingulum (left),HC206,INI25683,0.215401818560481
Parkinson's disease,evening primrose oil,FH1262,MED1140916682,0.2152793820736
parkinsons disease,kliofem tablet,HC206,MED1140917056,0.215216593724085
Parkinson's disease,sclerosing cholangitis,FH1262,HC417,0.214937184643715
Parkinson's disease,salivary gland cancer,FH1262,cancer1005,0.214903250333419
Parkinson's disease,budesonide product,FH1262,MED1141157418,0.214900496138204
parkinsons disease,arcoxia 60mg tablet,HC206,MED1141180148,0.214835511166064
Parkinson's disease,Mean ICVF in uncinate fasciculus on FA skeleton (left),FH1262,INI25389,0.214781445907856
parkinsons disease,Volume of grey matter in Amygdala (left),HC206,INI25888,0.214414998014412
Parkinson's disease,ulcerative colitis,FH1262,HC201,0.214028017122824
Parkinson's disease,chlorphenamine,FH1262,MED1140909790,0.213975039067864
parkinsons disease,co-proxamol,HC206,MED1140923348,0.213967225905723
Parkinson's disease,connective tissue disorder,FH1262,HC136,0.213926317607976
Parkinson's disease,Weighted-mean MD in tract uncinate fasciculus (left),FH1262,INI25540,0.213922738099373
Parkinson's disease,co-codamol,FH1262,MED1140923346,0.2138710634071
Parkinson's disease,lymecycline,FH1262,MED1140873474,0.213859306591718
parkinsons disease,Volume of grey matter in Middle Frontal Gyrus (left),HC206,INI25788,0.213811876354394
parkinsons disease,procyclidine,HC206,MED1140883476,0.213806138492229
Parkinson's disease,dovobet ointment,FH1262,MED1141179992,0.213477205804427
parkinsons disease,"Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (right)",HC206,INI25813,0.213454670597092
Parkinson's disease,female genital tract cancer,FH1262,cancer1037,0.213243642011228
Parkinson's disease,co-dydramol,FH1262,MED1140923350,0.213141873961211
Parkinson's disease,solpadeine tablet,FH1262,MED1141168648,0.213105986025465
parkinsons disease,Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left),HC206,INI25716,0.212807423560316
Parkinson's disease,scarlet fever/scarlatina,FH1262,HC397,0.212778050921432
Parkinson's disease,polycystic ovaries/polycystic ovarian syndrome,FH1262,HC291,0.212773610017706
parkinsons disease,co-codamol,HC206,MED1140923346,0.212497043183219
parkinsons disease,fracture foot,HC206,HC76,0.212073562906696
Parkinson's disease,disc problem,FH1262,HC230,0.21200372064776
parkinsons disease,deep relief ibuprofen gel,HC206,MED1140911750,0.211971487390359
Parkinson's disease,selenium ace tablet,FH1262,MED1140911682,0.211889367220538
parkinsons disease,fracture neck/cervical fracture,HC206,HC315,0.211812008914546
parkinsons disease,tramacet 325mg/37.5mg tablet,HC206,MED1141190960,0.211765072617139
Parkinson's disease,Volume of grey matter in Lingual Gyrus (left),FH1262,INI25852,0.21172922178882
Parkinson's disease,dexamethasone,FH1262,MED1140874816,0.211717074821114
parkinsons disease,L1-L4 average width,HC206,INI23202,0.211636102869354
parkinsons disease,"Volume of grey matter in Temporal Fusiform Cortex, anterior division (left)",HC206,INI25854,0.211603430941981
Parkinson's disease,ferrous sulphate,FH1262,MED1140870390,0.211450770556819
Parkinson's disease,eye/eyelid problem,FH1262,HC6,0.211446033312031
Parkinson's disease,NHS,FH1262,MED1000000011,0.211161577066178
Parkinson's disease,Age stroke diagnosed,FH1262,INI4056,0.211069487304874
Parkinson's disease,insomnia,FH1262,HC306,0.210690612527278
parkinsons disease,Mean ISOVF in sagittal stratum on FA skeleton (right),HC206,INI25470,0.210646259760287
Parkinson's disease,Median T2star in caudate (left),FH1262,INI25028,0.20995093133055
Parkinson's disease,spasmonal 60mg capsule,FH1262,MED1140865336,0.209747683926963
parkinsons disease,berocca effervescent tablet,HC206,MED1141188210,0.209503174019843
parkinsons disease,Volume of grey matter in Planum Polare (right),HC206,INI25869,0.209436622986462
Parkinson's disease,hydrocortisone,FH1262,MED1140874896,0.209346157732508
Parkinson's disease,avandamet 1mg/500mg tablet,FH1262,MED1141189094,0.209300404119286
Parkinson's disease,meniere's disease,FH1262,HC253,0.209270859089946
parkinsons disease,vitamin e product,HC206,MED1140871112,0.209160701725278
Parkinson's disease,Particulate matter air pollution 2.5-10um; 2010,FH1262,INI24008,0.208764535157775
Parkinson's disease,frusemide,FH1262,MED1140866116,0.208553090019702
parkinsons disease,"Volume of grey matter in Middle Temporal Gyrus, posterior division (left)",HC206,INI25804,0.208548690451778
parkinsons disease,docusate sodium,HC206,MED1140879404,0.208524943347476
Parkinson's disease,calfovit d3 powder for oral suspension,FH1262,MED1141191312,0.208243849423115
Parkinson's disease,protium 20mg e/c tablet,FH1262,MED1141164616,0.208085701347175
Parkinson's disease,endometriosis,FH1262,HC205,0.207960187366331
Parkinson's disease,chronic sinusitis,FH1262,HC298,0.207916057240267
Parkinson's disease,crestor 10mg tablet,FH1262,MED1141192414,0.207861314408509
Parkinson's disease,depo-provera 50mg/1ml injection,FH1262,MED1140857620,0.20784835084442
parkinsons disease,oesophageal disorder,HC206,HC212,0.207796062220128
Parkinson's disease,Weighted-mean FA in tract middle cerebellar peduncle,FH1262,INI25504,0.2077100272163
parkinsons disease,"Volume of grey matter in Middle Temporal Gyrus, posterior division (right)",HC206,INI25805,0.207677285229717
parkinsons disease,ropinirole,HC206,MED1140928274,0.20729867756482
