Sheet,Trait1,Trait2,corr,Reference,Source,Dataset
DeGAs,parkinsons_disease,stomach_disorder,0.97234702,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,fracture_hand,0.97226109,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mirena_20mcg_24hrs_intrauterine_system,0.97220717,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,thyroid_goitre,0.97214123,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,cascot_confidence_score,0.97212916,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,bone_metastases_bony_secondaries,0.97203165,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,uterine_endometrial_cancer,0.97196835,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,weighted_mean_mo_in_tract_medial_lemniscus_right,0.97179503,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,doxazosin,0.97177129,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,benign_essential_tremor,0.97161766,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,venlafaxine,0.9715356,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,prochlorperazine,0.97149024,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,weighted_mean_mo_in_tract_posterior_thalamic_ra...,0.97139871,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,omega_3_fish_oil_supplement,0.97132268,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,polio_poliomyelitis,0.97124288,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,multivitamin+mineral_preparations,0.97124254,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,eye_and_or_adnexal_cancer,0.97117568,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,elocon_cream,0.97116955,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,total_thigh_muscle_volume,0.97114219,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,liver_failure_cirrhosis,0.97109862,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,inverted_contrast_to_noise_ratio_in_t1,0.97102722,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,salmeterol,0.97101528,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,breast_cysts,0.97094393,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,clomipramine,0.97085992,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,epilim_100mg_crushable_tablet,0.97082787,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,nitrofurantoin,0.97079931,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,pulmonary_fibrosis,0.97079496,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,chickenpox,0.97079159,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,psychological_psychiatric_problem,0.97040338,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,quetiapine,0.97040133,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,aciclovir,0.97025477,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,median_t2star_in_amygdala_right,0.97020887,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,tildiem_60mg_m_r_tablet,0.97017411,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,calcium_salts,0.9701193,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,irritable_bowel_syndrome,0.97008705,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,volume_of_white_matter_normalised_for_head_size,0.9700396,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,ranitidine,0.96973902,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,median_t2star_in_accumbens_left,0.96971963,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mometasone,0.96960399,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,lofepramine,0.96956444,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,femur_upper_neck_bmd_bone_mineral_density_left,0.96952082,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,weighted_mean_isovf_in_tract_corticospinal_trac...,0.96947785,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mean_isovf_in_cingulum_hippocampus_on_fa_skelet...,0.96946813,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,migraleve_tablet,0.96943848,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,tamoxifen,0.96938756,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,volume_of_grey_matter_in_inferior_temporal_gyru...,0.96930314,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,buprenorphine,0.96916852,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,low_platelets_platelet_disorder,0.96913865,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,tamsulosin,0.9690851,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,pituitary_adenoma_tumour,0.96907348,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,lifetime_number_of_same_sex_sexual_partners,0.96904212,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,alverine,0.96900467,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,gaviscon_liquid,0.96897623,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,loratadine,0.96895846,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,"diastolic_blood_pressure,_manual_reading",0.96893904,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,urinary_tract_infection_kidney_infection,0.96886027,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,dihydrocodeine,0.96876313,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,spasmonal_60mg_capsule,0.96869076,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,head_injury,0.96867449,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,paraplegia,0.96858163,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,septicaemia_sepsis,0.96853527,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,fracture_tibia,0.96847829,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,letrozole,0.96831258,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,fybogel_mebeverine_sachet,0.9681284,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,fluvastatin,0.96792066,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,giant_cell_temporal_arteritis,0.96787054,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,ever_had_hysterectomy_womb_removed,0.96779835,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,acute_myeloid_leukaemia,0.96774174,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,nasal_sinus_disorder,0.96773801,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,weighted_mean_od_in_tract_inferior_fronto_occip...,0.96756551,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,fracture_toe,0.96743431,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,gastritis_gastric_erosions,0.96737436,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,syndol_tablet,0.9673206,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,nitrazepam,0.96727061,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,dicloflex_25mg_e_c_tablet,0.96726286,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,nitrolingual_400micrograms_spray,0.96702474,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,ispaghula_husk,0.96701708,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,fluvastatin,0.96694679,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,weighted_mean_od_in_tract_posterior_thalamic_ra...,0.96694126,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,eye_trauma,0.96684234,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,co_dydramol,0.9668326,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,bowel_intestinal_obstruction,0.96672765,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,average_heart_rate,0.96667007,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mean_isovf_in_medial_lemniscus_on_fa_skeleton_left,0.96665691,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,volume_of_grey_matter_normalised_for_head_size,0.96663091,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,fracture_lower_leg_ankle,0.9664791,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,brain_cancer_primary_malignant_brain_tumour,0.96644048,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,efexor_37_5mg_tablet,0.96634445,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,index_of_best_refractometry_result_left,0.96632572,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,chlorphenamine,0.96626941,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,depo_provera_50mg_1ml_injection,0.96626519,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mean_carotid_imt_intima_medial_thickness_at_150...,0.96624193,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,helicobacter_pylori,0.96613814,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mean_isovf_in_medial_lemniscus_on_fa_skeleton_r...,0.96610456,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,olmetec_10mg_tablet,0.96608408,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,dovonex_50micrograms_g_cream,0.96606006,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,co_proxamol,0.96603549,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,synovitis,0.96601551,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,90th_percentile_of_bold_effect_in_group_defined...,0.96592173,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,rino_clenil_50micrograms_nasal_spray,0.96577097,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,pioglitazone,0.96568576,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,doctor_diagnosed_tuberculosis,0.96562891,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,polycythaemia_vera,0.96562476,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,throat_or_larynx_disorder,0.96561727,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,zoladex_3_6mg_implant,0.96555062,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,omacor_1g_capsule,0.96540092,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,volume_of_grey_matter_in_superior_parietal_lobu...,0.96537887,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,minimum_carotid_imt_intima_medial_thickness_at_...,0.96536072,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,number_of_pregnancy_terminations,0.9651364,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,age_glaucoma_diagnosed,0.96508572,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,enlarged_prostate,0.9649992,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mean_fa_in_uncinate_fasciculus_on_fa_skeleton_left,0.96499113,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,chronic_myeloid,0.96493777,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,adrenocortical_insufficiency_addisons_disease,0.96467833,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,logynon_tablet,0.9646776,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,domperidone,0.96464689,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,volume_of_grey_matter_in_superior_temporal_gyru...,0.96458623,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,endometriosis,0.96452546,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,aortic_stenosis,0.96450866,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,weighted_mean_mo_in_tract_superior_longitudinal...,0.96439563,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,volume_of_peripheral_cortical_grey_matter_norma...,0.96438395,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,insomnia,0.96422878,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,volume_of_accumbens_right,0.96418666,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,chronic_obstructive_airways_disease_copd,0.96416486,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,rheumatic_fever,0.96395405,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,glucosamine_product,0.96384754,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,bronchiectasis,0.96371846,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,90th_percentile_of_z_statistic_in_group_defined...,0.96368743,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,gtn_400micrograms_spray,0.96348482,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,vasculitis,0.96343617,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,creon_e_c_granules_in_capsule,0.96334654,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,tonsiltis,0.96326035,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,stomach_cancer,0.96316794,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,leg_pain_when_walking_normally,0.9630965,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,seroxat_20mg_tablet,0.96305916,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,volume_of_grey_matter_in_supracalcarine_cortex_...,0.96294512,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,femoston_1_10_tablet,0.96290154,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,stroke,0.96279024,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,esomeprazole,0.96272966,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,climagest_1mg_tablet,0.96249721,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,trandolapril,0.96246836,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,indometacin,0.96224687,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,weighted_mean_mo_in_tract_acoustic_radiation_right,0.96222084,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,chronic_bronchitis_emphysema,0.96200137,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,loperamide,0.96198976,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mean_isovf_in_fornix_on_fa_skeleton,0.96191447,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,post_natal_depression,0.96182679,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,weighted_mean_od_in_tract_posterior_thalamic_ra...,0.96181064,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,nicorandil,0.96179283,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,weighted_mean_od_in_tract_medial_lemniscus_left,0.96165635,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,multivitamins_capsule,0.96163984,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,leg_pain_when_walking_ever_disappears_while_wal...,0.96156351,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mean_fa_in_medial_lemniscus_on_fa_skeleton_right,0.96153257,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,trimovate_ointment,0.96148087,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,"volume_of_brain,_grey+white,_normalised_for_hea...",0.96141315,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,cerebral_aneurysm,0.96141239,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mothers_age,0.96138384,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,post_traumatic_stress_disorder,0.96107914,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,weighted_mean_mo_in_tract_corticospinal_tract_r...,0.96106704,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,doctor_diagnosed_copd_chronic_obstructive_pulmo...,0.96077306,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,carbimazole,0.9606872,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,median_z_statistic_in_group_defined_mask_for_sh...,0.96065467,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,weighted_mean_mo_in_tract_anterior_thalamic_rad...,0.96059427,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,6mm_regularity_index_right,0.96050032,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mean_fa_in_medial_lemniscus_on_fa_skeleton_left,0.96032272,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,pravastatin,0.96030758,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,duodenal_ulcer,0.96024505,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,number_of_spontaneous_miscarriages,0.9601235,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,median_bold_effect_in_group_defined_amygdala_ac...,0.96012063,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,fexofenadine,0.95999634,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,mitral_valve_prolapse,0.95994719,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,fracture_ulna,0.95973401,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
DeGAs,parkinsons_disease,testosterone_product,0.95971864,"Tanigawa et al, 2019 (Nature Communications)",Computed by review authors,contributionGene: reconstructed matrix
