Sheet,Tissue,Sig,Reference,Source,Dataset
Schilder2020,neutrophil,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,neutrophil,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,neutrophil,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,neutrophil,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,neutrophil,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,iPSC,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,macrophage,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,brain (DLPFC),,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,B cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,B cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,B cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,B cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,B cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD4+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD4+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD4+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD4+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD4+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD4+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD4+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD4+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD4+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD4+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD8+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD8+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD8+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD8+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD8+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD8+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD8+ T cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,NK cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,NK cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,NK cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Tfh cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Tfh cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Tfh cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Th17 cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Th17 cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Th17 cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Th17 cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Th17 cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Th17 cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Th17 cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Th1 cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Th2 cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Th2 cell,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Treg naive,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Treg naive,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Treg naive,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Treg naive,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Treg memory,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Treg memory,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,Treg memory,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD16+ monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD16+ monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD16+ monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD16+ monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,CD16+ monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,monocyte,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,LCL,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,blood,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,adipose,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Schilder2020,skin,,"Schilder et al, 2020 (bioRxiv)",,eQTL Catalogue
Nalls2019,Adipose_Subcutaneous,0.99704,"Nalls et al, 2019 (Lancet Neurology)",magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Nalls2019,Adipose_Visceral_Omentum,0.99981,"Nalls et al, 2019 (Lancet Neurology)",magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Nalls2019,Adrenal_Gland,0.24728,"Nalls et al, 2019 (Lancet Neurology)",magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Nalls2019,Artery_Aorta,0.99703,"Nalls et al, 2019 (Lancet Neurology)",magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Nalls2019,Artery_Coronary,0.99892,"Nalls et al, 2019 (Lancet Neurology)",magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
